"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Decimo_proyecto\backend\config\db.js", "JavaScript", 0, 11, 0, 3, 14
"c:\Decimo_proyecto\backend\config\multer.js", "JavaScript", 0, 35, 3, 6, 44
"c:\Decimo_proyecto\backend\controllers\CompetenciasController.js", "JavaScript", 0, 46, 5, 5, 56
"c:\Decimo_proyecto\backend\controllers\ConocimientosController.js", "JavaScript", 0, 74, 8, 7, 89
"c:\Decimo_proyecto\backend\controllers\MateriaController.js", "JavaScript", 0, 135, 11, 22, 168
"c:\Decimo_proyecto\backend\controllers\authController.js", "JavaScript", 0, 45, 5, 7, 57
"c:\Decimo_proyecto\backend\controllers\meritoController.js", "JavaScript", 0, 55, 1, 9, 65
"c:\Decimo_proyecto\backend\controllers\postulacionesController.js", "JavaScript", 0, 136, 6, 12, 154
"c:\Decimo_proyecto\backend\controllers\userController.js", "JavaScript", 0, 70, 6, 16, 92
"c:\Decimo_proyecto\backend\controllers\workflowcontrollers.js", "JavaScript", 0, 28, 3, 5, 36
"c:\Decimo_proyecto\backend\createAdmin.js", "JavaScript", 0, 44, 5, 7, 56
"c:\Decimo_proyecto\backend\models\Users.js", "JavaScript", 0, 14, 0, 3, 17
"c:\Decimo_proyecto\backend\models\competencias.js", "JavaScript", 0, 24, 1, 4, 29
"c:\Decimo_proyecto\backend\models\conocimientos.js", "JavaScript", 0, 12, 2, 3, 17
"c:\Decimo_proyecto\backend\models\materia.js", "JavaScript", 0, 24, 1, 7, 32
"c:\Decimo_proyecto\backend\models\materiaacefala.js", "JavaScript", 0, 64, 0, 3, 67
"c:\Decimo_proyecto\backend\models\merito.js", "JavaScript", 0, 20, 1, 4, 25
"c:\Decimo_proyecto\backend\models\postulaciones.js", "JavaScript", 0, 55, 1, 3, 59
"c:\Decimo_proyecto\backend\models\workflowSequence.js", "JavaScript", 0, 6, 1, 3, 10
"c:\Decimo_proyecto\backend\models\workflowmodels.js", "JavaScript", 0, 8, 1, 3, 12
"c:\Decimo_proyecto\backend\package-lock.json", "JSON", 2052, 0, 0, 1, 2053
"c:\Decimo_proyecto\backend\package.json", "JSON", 26, 0, 0, 1, 27
"c:\Decimo_proyecto\backend\routes\CompetenciasRoutes.js", "JavaScript", 0, 13, 1, 4, 18
"c:\Decimo_proyecto\backend\routes\ConocimientosRoutes.js", "JavaScript", 0, 15, 6, 7, 28
"c:\Decimo_proyecto\backend\routes\MateriaRoutes.js", "JavaScript", 0, 8, 1, 3, 12
"c:\Decimo_proyecto\backend\routes\authRoutes.js", "JavaScript", 0, 5, 2, 3, 10
"c:\Decimo_proyecto\backend\routes\materias.js", "JavaScript", 0, 30, 0, 6, 36
"c:\Decimo_proyecto\backend\routes\meritoRoutes.js", "JavaScript", 0, 13, 0, 4, 17
"c:\Decimo_proyecto\backend\routes\postulaciones.js", "JavaScript", 0, 48, 4, 6, 58
"c:\Decimo_proyecto\backend\routes\userRoutes.js", "JavaScript", 0, 8, 4, 6, 18
"c:\Decimo_proyecto\backend\routes\workflowroutes.js", "JavaScript", 0, 6, 3, 4, 13
"c:\Decimo_proyecto\backend\server.js", "JavaScript", 0, 128, 28, 30, 186
"Total", "-", 2078, 1180, 110, 207, 3575
